Date,Age Groups,Gender,Veterans
9/30/2027  12:00:00 AMale,30-34,Male,605848.8696
9/30/2027  12:00:00 AMale,35-39,Female,176514.4476
9/30/2027  12:00:00 AMale,35-39,Male,767042.7736
9/30/2027  12:00:00 AMale,40-44,Female,204461.1964
9/30/2027  12:00:00 AMale,40-44,Male,903889.5088
9/30/2027  12:00:00 AMale,45-49,Female,222054.1677
9/30/2027  12:00:00 AMale,45-49,Male,954883.7981
9/30/2027  12:00:00 AMale,50-54,Female,190801.3326
9/30/2027  12:00:00 AMale,50-54,Male,921105.1891
9/30/2027  12:00:00 AMale,55-59,Female,208124.4856
9/30/2027  12:00:00 AMale,55-59,Male,1229903.52
9/30/2027  12:00:00 AMale,60-64,Female,211925.4425
9/30/2027  12:00:00 AMale,60-64,Male,1387625.209
9/30/2027  12:00:00 AMale,65-69,Female,223767.7766
9/30/2027  12:00:00 AMale,65-69,Male,1472807.305
9/30/2027  12:00:00 AMale,70-74,Female,169169.8156
9/30/2027  12:00:00 AMale,70-74,Male,1394145.434
9/30/2027  12:00:00 AMale,75-79,Female,102475.2113
9/30/2027  12:00:00 AMale,75-79,Male,1649720.245
9/30/2027  12:00:00 AMale,80-84,Female,53698.2706
9/30/2027  12:00:00 AMale,80-84,Male,1679745.308
9/30/2027  12:00:00 AMale,85+,Female,49063.76787
9/30/2027  12:00:00 AMale,85+,Male,1287733.554
9/30/2027  12:00:00 AMale,< 20,Female,2520.881499
9/30/2027  12:00:00 AMale,< 20,Male,6751.783692
9/30/2028  12:00:00 AMale,20-24,Female,49628.30763
9/30/2028  12:00:00 AMale,20-24,Male,205383.6544
9/30/2028  12:00:00 AMale,25-29,Female,116199.7896
9/30/2028  12:00:00 AMale,25-29,Male,507353.14
9/30/2028  12:00:00 AMale,30-34,Female,144356.4222
9/30/2028  12:00:00 AMale,30-34,Male,607493.0495
9/30/2028  12:00:00 AMale,35-39,Female,169095.7938
9/30/2028  12:00:00 AMale,35-39,Male,731165.0715
9/30/2028  12:00:00 AMale,40-44,Female,200365.1695
9/30/2028  12:00:00 AMale,40-44,Male,892980.5428
9/30/2028  12:00:00 AMale,45-49,Female,225756.59
9/30/2028  12:00:00 AMale,45-49,Male,970774.7554
9/30/2028  12:00:00 AMale,50-54,Female,195127.0989
9/30/2028  12:00:00 AMale,50-54,Male,902242.7015
9/30/2028  12:00:00 AMale,55-59,Female,202291.3995
9/30/2028  12:00:00 AMale,55-59,Male,1154698.485
9/30/2028  12:00:00 AMale,60-64,Female,206721.2061
9/30/2028  12:00:00 AMale,60-64,Male,1336817.072
9/30/2028  12:00:00 AMale,65-69,Female,226962.1854
9/30/2028  12:00:00 AMale,65-69,Male,1455166.354
9/30/2028  12:00:00 AMale,70-74,Female,178108.3206
9/30/2028  12:00:00 AMale,70-74,Male,1389996.858
9/30/2028  12:00:00 AMale,75-79,Female,110243.5242
9/30/2028  12:00:00 AMale,75-79,Male,1435049.443
9/30/2028  12:00:00 AMale,80-84,Female,58793.93872
9/30/2028  12:00:00 AMale,80-84,Male,1749713.463
9/30/2028  12:00:00 AMale,85+,Female,50584.07456
9/30/2028  12:00:00 AMale,85+,Male,1307319.962
9/30/2028  12:00:00 AMale,< 20,Female,2518.561591
9/30/2028  12:00:00 AMale,< 20,Male,6745.795363
9/30/2029  12:00:00 AMale,20-24,Female,49431.46597
9/30/2029  12:00:00 AMale,20-24,Male,204554.0502
9/30/2029  12:00:00 AMale,25-29,Female,115403.9866
9/30/2029  12:00:00 AMale,25-29,Male,505363.8184
9/30/2029  12:00:00 AMale,30-34,Female,145473.1424
9/30/2029  12:00:00 AMale,30-34,Male,611632.643
9/30/2029  12:00:00 AMale,35-39,Female,160649.8438
9/30/2029  12:00:00 AMale,35-39,Male,694321.2975
9/30/2029  12:00:00 AMale,40-44,Female,197578.8776
9/30/2029  12:00:00 AMale,40-44,Male,880372.5206
9/30/2029  12:00:00 AMale,45-49,Female,225750.9873
9/30/2029  12:00:00 AMale,45-49,Male,977423.4947
9/30/2029  12:00:00 AMale,50-54,Female,200501.6504
9/30/2029  12:00:00 AMale,50-54,Male,897492.5124
9/30/2029  12:00:00 AMale,55-59,Female,196618.3961
9/30/2029  12:00:00 AMale,55-59,Male,1078652.835
9/30/2029  12:00:00 AMale,60-64,Female,204932.9736
9/30/2029  12:00:00 AMale,60-64,Male,1293722.166
9/30/2029  12:00:00 AMale,65-69,Female,225334.5684
9/30/2029  12:00:00 AMale,65-69,Male,1432323.407
9/30/2029  12:00:00 AMale,70-74,Female,185921.8458
9/30/2029  12:00:00 AMale,70-74,Male,1377899.039
9/30/2029  12:00:00 AMale,75-79,Female,120428.2931
9/30/2029  12:00:00 AMale,75-79,Male,1295708.884
9/30/2029  12:00:00 AMale,80-84,Female,64350.72905
9/30/2029  12:00:00 AMale,80-84,Male,1746303.6
9/30/2029  12:00:00 AMale,85+,Female,52291.90166
9/30/2029  12:00:00 AMale,85+,Male,1334728.568
9/30/2029  12:00:00 AMale,< 20,Female,2515.238082
9/30/2029  12:00:00 AMale,< 20,Male,6736.867744
9/30/2030  12:00:00 AMale,20-24,Female,49267.70224
9/30/2030  12:00:00 AMale,20-24,Male,203882.3338
9/30/2030  12:00:00 AMale,25-29,Female,114145.1192
9/30/2030  12:00:00 AMale,25-29,Male,500142.2446
9/30/2030  12:00:00 AMale,30-34,Female,146282.5419
9/30/2030  12:00:00 AMale,30-34,Male,618370.0167
9/30/2030  12:00:00 AMale,35-39,Female,154343.6924
9/30/2030  12:00:00 AMale,35-39,Male,664705.7958
9/30/2030  12:00:00 AMale,40-44,Female,194642.2148
9/30/2030  12:00:00 AMale,40-44,Male,864453.4815
9/30/2030  12:00:00 AMale,45-49,Female,222800.7926
9/30/2030  12:00:00 AMale,45-49,Male,974321.5193
9/30/2030  12:00:00 AMale,50-54,Female,208332.2509
9/30/2030  12:00:00 AMale,50-54,Male,912118.6811
9/30/2030  12:00:00 AMale,55-59,Female,188371.7886
9/30/2030  12:00:00 AMale,55-59,Male,992171.4957
9/30/2030  12:00:00 AMale,60-64,Female,207556.2238
9/30/2030  12:00:00 AMale,60-64,Male,1267426.645
9/30/2030  12:00:00 AMale,65-69,Female,218668.4588
9/30/2030  12:00:00 AMale,65-69,Male,1390511.654
9/30/2030  12:00:00 AMale,70-74,Female,193614.9621
9/30/2030  12:00:00 AMale,70-74,Male,1362996.114
9/30/2030  12:00:00 AMale,75-79,Female,130371.5342
