Date,Age Groups,Gender,State,Veterans
9/30/2021,35-39,Female,Kentucky,2429.605524
9/30/2021,35-39,Female,Louisiana,3756.851766
9/30/2021,35-39,Female,Maine,754.9266759
9/30/2021,35-39,Female,Maryland,4991.498897
9/30/2021,35-39,Female,Massachusetts,2124.849442
9/30/2021,35-39,Female,Michigan,3752.292768
9/30/2021,35-39,Female,Minnesota,2589.411872
9/30/2021,35-39,Female,Mississippi,2363.218049
9/30/2021,35-39,Female,Missouri,3635.924413
9/30/2021,35-39,Female,Montana,939.0410042
9/30/2021,35-39,Female,Nebraska,1412.684206
9/30/2021,35-39,Female,Nevada,2469.670745
9/30/2021,35-39,Female,New Hampshire,664.2885297
9/30/2021,35-39,Female,New Jersey,2712.772048
9/30/2021,35-39,Female,New Mexico,1437.764095
9/30/2021,35-39,Female,New York,6177.018999
9/30/2021,35-39,Female,North Carolina,8350.125617
9/30/2021,35-39,Female,North Dakota,722.212331
9/30/2021,35-39,Female,Ohio,5901.672842
9/30/2021,35-39,Female,Oklahoma,3386.160703
9/30/2021,35-39,Female,Oregon,2383.323054
9/30/2021,35-39,Female,Pennsylvania,5729.984377
9/30/2021,35-39,Female,Puerto Rico,351.6690746
9/30/2021,35-39,Female,Rhode Island,537.5206344
9/30/2021,35-39,Female,South Carolina,4488.541128
9/30/2021,35-39,Female,South Dakota,670.2756592
9/30/2021,35-39,Female,Tennessee,4208.168048
9/30/2021,35-39,Female,Texas,22288.12925
9/30/2021,35-39,Female,Utah,1304.922109
9/30/2021,35-39,Female,Vermont,276.2642846
9/30/2021,35-39,Female,Virginia,11663.97818
9/30/2021,35-39,Female,Washington,6124.248023
9/30/2021,35-39,Female,West Virginia,972.4799688
9/30/2021,35-39,Female,Wisconsin,2956.828073
9/30/2021,35-39,Female,Wyoming,507.8866411
9/30/2021,35-39,Male,Alabama,15087.33684
9/30/2021,35-39,Male,Alaska,4474.368662
9/30/2021,35-39,Male,Arizona,21451.92074
9/30/2021,35-39,Male,Arkansas,8999.056159
9/30/2021,35-39,Male,California,82725.1242
9/30/2021,35-39,Male,Colorado,21492.28927
9/30/2021,35-39,Male,Connecticut,6028.386571
9/30/2021,35-39,Male,Delaware,2366.410776
